ball_x,ball_y,player_y
632,472,410
639,479,410
646,486,410
653,493,410
660,500,410
667,507,410
674,514,410
681,521,410
688,528,410
695,535,410
702,542,410
709,549,410
716,556,410
723,563,410
730,570,410
737,577,410
744,584,410
751,591,410
758,598,410
765,605,410
772,612,410
779,619,410
786,626,410
793,633,410
800,640,410
807,647,417
814,654,424
821,661,431
828,668,438
835,675,445
842,682,452
849,689,459
856,696,466
863,703,473
870,710,480
877,717,487
884,724,494
891,731,501
898,738,508
905,745,515
912,752,522
919,759,529
926,766,536
933,773,543
940,780,550
947,787,557
954,794,564
961,801,571
968,808,578
975,815,585
982,822,592
989,829,599
996,836,606
1003,843,613
1010,850,620
1017,857,627
1024,864,634
1031,871,641
1038,878,648
1045,885,655
1052,892,662
1059,899,669
1066,906,676
1073,913,683
1080,920,690
1087,927,697
1094,934,704
1101,927,711
1108,920,718
1115,913,725
1122,906,732
1129,899,739
1136,892,746
1143,885,753
1150,878,760
1157,871,767
1164,864,774
1171,857,781
1178,850,788
1185,843,788
1192,836,788
1199,829,788
1206,822,788
1213,815,788
1220,808,788
1227,801,788
1234,794,781
1227,787,774
1220,780,767
1213,773,760
1206,766,753
1199,759,746
1192,752,739
1185,745,732
1178,738,725
1171,731,718
1164,724,711
1157,717,704
1150,710,697
1143,703,690
1136,696,683
1129,689,676
1122,682,669
1115,675,662
1108,668,655
1101,661,648
1094,654,641
1087,647,634
1080,640,627
1073,633,620
1066,626,613
1059,619,606
1052,612,599
1045,605,592
1038,598,585
1031,591,578
1024,584,571
1017,577,564
1010,570,557
1003,563,550
996,556,543
989,549,536
982,542,529
975,535,522
968,528,515
961,521,508
954,514,501
947,507,494
940,500,487
933,493,480
926,486,473
919,479,466
912,472,459
905,465,452
898,458,445
891,451,438
884,444,431
877,437,424
870,430,417
863,423,410
856,416,403
849,409,403
842,402,403
835,395,403
828,388,403
821,381,403
814,374,403
807,367,403
800,360,403
793,353,403
786,346,403
779,339,403
772,332,396
765,325,389
758,318,382
751,311,375
744,304,368
737,297,361
730,290,354
723,283,347
716,276,340
709,269,333
702,262,326
695,255,319
688,248,312
681,241,305
674,234,298
667,227,291
660,220,284
653,213,277
646,206,270
639,199,263
632,192,256
625,185,249
618,178,242
611,171,235
604,164,228
597,157,221
590,150,214
583,143,207
576,136,200
569,129,193
562,122,186
555,115,179
548,108,172
541,101,165
534,94,158
527,87,151
520,80,144
513,73,137
506,66,130
499,59,123
492,52,116
485,45,109
478,38,102
471,31,95
464,24,88
457,17,81
450,10,74
443,3,67
436,-4,60
429,3,53
422,10,46
415,17,39
408,24,39
401,31,39
394,38,39
387,45,39
380,52,39
373,59,39
366,66,39
359,73,39
352,80,39
345,87,39
338,94,39
331,101,39
324,108,39
317,115,39
310,122,39
303,129,39
296,136,39
289,143,39
282,150,39
275,157,39
268,164,39
261,171,39
254,178,39
247,185,39
240,192,39
233,199,39
226,206,39
219,213,46
212,220,53
205,227,60
198,234,67
191,241,74
184,248,81
177,255,88
170,262,95
163,269,102
156,276,109
149,283,116
142,290,123
135,297,130
128,304,137
121,311,144
114,318,151
107,325,158
100,332,165
93,339,172
86,346,179
79,353,186
72,360,193
65,367,200
58,374,207
51,381,214
44,388,221
37,395,221
30,402,221
23,409,221
16,416,221
9,423,221
2,430,221
625,465,221
632,472,221
639,479,221
646,486,221
653,493,221
660,500,221
667,507,221
674,514,221
681,521,221
688,528,221
695,535,221
702,542,221
709,549,221
716,556,221
723,563,221
730,570,228
737,577,235
744,584,242
751,591,249
758,598,256
765,605,263
772,612,270
779,619,277
786,626,284
793,633,291
800,640,298
807,647,305
814,654,312
