ball_x,ball_y,player_y
632,472,410
639,479,410
646,486,410
653,493,410
660,500,410
667,507,410
674,514,410
681,521,410
688,528,410
695,535,410
702,542,410
709,549,410
716,556,410
723,563,410
730,570,410
737,577,410
744,584,410
751,591,410
758,598,410
765,605,410
772,612,410
779,619,410
786,626,417
793,633,424
800,640,431
807,647,438
814,654,445
821,661,452
828,668,459
835,675,466
842,682,473
849,689,480
856,696,487
863,703,494
870,710,501
877,717,508
884,724,515
891,731,522
898,738,529
905,745,536
912,752,543
919,759,550
926,766,557
933,773,564
940,780,571
947,787,578
954,794,585
961,801,592
968,808,599
975,815,606
982,822,613
989,829,620
996,836,627
1003,843,634
1010,850,641
1017,857,648
1024,864,655
1031,871,662
1038,878,669
1045,885,676
1052,892,683
1059,899,690
1066,906,697
1073,913,704
1080,920,711
1087,927,718
1094,934,725
1101,927,732
1108,920,739
1115,913,746
1122,906,753
1129,899,760
1136,892,767
1143,885,774
1150,878,781
1157,871,781
1164,864,781
1171,857,781
1178,850,781
1185,843,781
1192,836,781
1199,829,781
1206,822,781
1213,815,781
1220,808,781
1227,801,781
1234,794,781
1227,787,781
1220,780,781
1213,773,781
1206,766,781
1199,759,774
1192,752,767
1185,745,760
1178,738,753
1171,731,746
1164,724,739
1157,717,732
1150,710,725
1143,703,718
1136,696,711
1129,689,704
1122,682,697
1115,675,690
1108,668,683
1101,661,676
1094,654,669
1087,647,662
1080,640,655
1073,633,648
1066,626,641
1059,619,634
1052,612,627
1045,605,620
1038,598,613
1031,591,606
1024,584,599
1017,577,592
1010,570,585
1003,563,578
996,556,571
989,549,564
982,542,557
975,535,550
968,528,543
961,521,536
954,514,529
947,507,522
940,500,515
933,493,508
926,486,501
919,479,494
912,472,487
905,465,480
898,458,473
891,451,466
884,444,459
877,437,452
870,430,445
863,423,438
856,416,431
849,409,424
842,402,417
835,395,410
828,388,403
821,381,396
814,374,389
807,367,382
800,360,375
793,353,368
786,346,361
779,339,354
772,332,347
765,325,340
758,318,333
751,311,326
744,304,319
737,297,312
730,290,305
723,283,298
716,276,291
709,269,284
702,262,277
695,255,270
688,248,263
681,241,256
674,234,249
667,227,242
660,220,242
653,213,242
646,206,249
639,199,256
632,192,263
625,185,270
618,178,277
611,171,284
604,164,291
597,157,298
590,150,305
583,143,312
576,136,319
569,129,326
562,122,333
555,115,340
548,108,347
541,101,354
534,94,361
527,87,368
520,80,375
513,73,382
506,66,389
499,59,396
492,52,403
485,45,410
478,38,417
471,31,424
464,24,431
457,17,438
450,10,445
443,3,452
436,-4,459
429,3,466
422,10,473
415,17,480
408,24,487
401,31,494
394,38,501
387,45,508
380,52,515
373,59,515
366,66,515
359,73,515
352,80,515
345,87,508
338,94,501
331,101,501
324,108,501
317,115,501
310,122,501
303,129,501
296,136,501
289,143,501
282,150,501
275,157,501
268,164,508
261,171,515
254,178,522
247,185,529
240,192,536
233,199,543
226,206,550
219,213,557
212,220,564
205,227,571
198,234,578
191,241,585
184,248,592
177,255,599
170,262,606
163,269,613
156,276,620
149,283,627
142,290,634
135,297,641
128,304,648
121,311,655
114,318,662
107,325,669
100,332,676
93,339,683
86,346,690
79,353,697
72,360,704
65,367,711
58,374,718
51,381,718
44,388,718
37,395,718
30,402,718
23,409,718
16,416,718
9,423,718
2,430,718
625,465,718
618,472,718
611,479,718
604,486,718
597,493,718
590,500,718
583,507,718
576,514,718
569,521,718
562,528,718
555,535,718
548,542,718
541,549,718
534,556,718
527,563,718
520,570,718
513,577,718
506,584,718
499,591,718
492,598,718
485,605,718
478,612,718
471,619,718
464,626,718
457,633,718
450,640,718
443,647,718
436,654,718
